ID,Airline_IATA2,StartingAirport_IATA3,DestinationAirport_IATA3,Equipment
1,2B,AER,KZN,CR2
2,2B,ASF,KZN,CR2
3,2B,ASF,MRV,CR2
4,2B,CEK,KZN,CR2
5,2B,CEK,OVB,CR2
6,2B,DME,KZN,CR2
7,2B,DME,NBC,CR2
8,2B,DME,TGK,CR2
9,2B,DME,UUA,CR2
10,2B,EGO,KGD,CR2
11,2B,EGO,KZN,CR2
12,2B,GYD,NBC,CR2
13,2B,KGD,EGO,CR2
14,2B,KZN,AER,CR2
15,2B,KZN,ASF,CR2
16,2B,KZN,CEK,CR2
17,2B,KZN,DME,CR2
18,2B,KZN,EGO,CR2
19,2B,KZN,LED,CR2
20,2B,KZN,SVX,CR2
21,2B,LED,KZN,CR2
22,2B,LED,NBC,CR2
23,2B,LED,UUA,CR2
24,2B,MRV,ASF,CR2
25,2B,NBC,DME,CR2
26,2B,NBC,GYD,CR2
27,2B,NBC,LED,CR2
28,2B,NBC,SVX,CR2
29,2B,NJC,SVX,CR2
30,2B,NJC,UUA,CR2
31,2B,NUX,SVX,CR2
32,2B,OVB,CEK,CR2
33,2B,OVB,SVX,CR2
34,2B,SVX,KZN,CR2
35,2B,SVX,NBC,CR2
36,2B,SVX,NJC,CR2
37,2B,SVX,NUX,CR2
38,2B,SVX,OVB,CR2
39,2B,TGK,DME,CR2
40,2B,UUA,DME,CR2
41,2B,UUA,LED,CR2
42,2B,UUA,NJC,CR2
43,2G,BTK,IKT,A81
44,2G,BTK,OVB,A81
45,2G,CEK,OVB,A81
46,2G,HTA,IKT,AN4
47,2G,IKT,BTK,A81
48,2G,IKT,HTA,AN4
49,2G,IKT,KCK,AN4
50,2G,IKT,ODO,AN4
51,2G,IKT,OVB,A81
52,2G,IKT,UKX,AN4
53,2G,IKT,ULK,AN4
54,2G,IKT,YKS,A81
55,2G,KCK,IKT,AN4
56,2G,MJZ,OVB,A81
57,2G,ODO,IKT,AN4
58,2G,OVB,BTK,A81
59,2G,OVB,CEK,A81
60,2G,OVB,IKT,A81
61,2G,UKX,IKT,AN4
62,2G,ULK,IKT,AN4
63,2G,YKS,IKT,A81
64,2I,AYP,LIM,142
65,2I,CUZ,LIM,142 141
66,2I,CUZ,PEM,142
67,2I,HUU,LIM,141
68,2I,IQT,PCL,143
69,2I,IQT,TPP,142
70,2I,LIM,AYP,142
71,2I,LIM,CUZ,142 141
72,2I,LIM,HUU,141
73,2I,LIM,PCL,143 146
74,2I,LIM,TPP,142 146
75,2I,PCL,IQT,143
76,2I,PCL,LIM,143 146
77,2I,PCL,TPP,146
78,2I,PEM,CUZ,142
79,2I,TPP,IQT,142
80,2I,TPP,LIM,142 146
81,2I,TPP,PCL,146
82,2J,ABJ,BOY,CRJ
83,2J,ABJ,OUA,E70 CRJ M87
84,2J,ACC,OUA,CRJ
85,2J,BKO,ABJ,M87
86,2J,BKO,DKR,M87
87,2J,BKO,OUA,CRJ
88,2J,BOY,ABJ,CRJ
89,2J,BOY,OUA,CRJ
90,2J,COO,LFW,M87
91,2J,COO,OUA,M87
92,2J,DKR,BKO,M87
93,2J,DKR,OUA,M87
